association,university,school,program_page_url,source_school_url
PROGRAMLIST,Duke University,Sanford School of Public Policy,https://sanford.duke.edu/academics/masters-programs/master-national-security-policy/,https://sanford.duke.edu
PROGRAMLIST,Duke University,Sanford School of Public Policy,https://sanford.duke.edu/academics/masters-programs/master-public-policy/,https://sanford.duke.edu
PROGRAMLIST,Duke University,Sanford School of Public Policy,https://sanford.duke.edu/academics/masters-programs/master-international-development-policy/,https://sanford.duke.edu
PROGRAMLIST,Duke University,Sanford School of Public Policy,https://sanford.duke.edu/master-public-affairs/,https://sanford.duke.edu
PROGRAMLIST,Duke University,Sanford School of Public Policy,https://sanford.duke.edu/academics/undergraduate-program/,https://sanford.duke.edu
PROGRAMLIST,Duke University,Sanford School of Public Policy,https://sanford.duke.edu/academics/undergraduate-program/programs/journalism-and-media-minor/,https://sanford.duke.edu
PROGRAMLIST,Duke University,Sanford School of Public Policy,https://sanford.duke.edu/academics/undergraduate-program/programs/technology-policy-minor/,https://sanford.duke.edu
PROGRAMLIST,Duke University,Sanford School of Public Policy,https://sanford.duke.edu/admissions/masters-program-application-process/,https://sanford.duke.edu
PROGRAMLIST,Duke University,Sanford School of Public Policy,https://sanford.duke.edu#reach-skip-nav,https://sanford.duke.edu
PROGRAMLIST,Duke University,Sanford School of Public Policy,https://sanford.duke.edu/,https://sanford.duke.edu
PROGRAMLIST,New York University,Wagner School of Public Service,https://wagner.nyu.edu/education/degrees/master-urban-planning,https://wagner.nyu.edu
PROGRAMLIST,New York University,Wagner School of Public Service,https://wagner.nyu.edu/education/degrees/master-science-public-policy,https://wagner.nyu.edu
PROGRAMLIST,New York University,Wagner School of Public Service,https://wagner.nyu.edu/education/degrees,https://wagner.nyu.edu
PROGRAMLIST,New York University,Wagner School of Public Service,https://wagner.nyu.edu/focus/areas/program-evaluation,https://wagner.nyu.edu
PROGRAMLIST,New York University,Wagner School of Public Service,https://wagner.nyu.edu/education/certificates-non-degree-programs/requirements,https://wagner.nyu.edu
PROGRAMLIST,New York University,Wagner School of Public Service,https://wagner.nyu.edu/education/certificates-non-degree-programs,https://wagner.nyu.edu
PROGRAMLIST,New York University,Wagner School of Public Service,https://wagner.nyu.edu/education/certificates-non-degree-programs/program-evaluation-impact-assessment,https://wagner.nyu.edu
PROGRAMLIST,New York University,Wagner School of Public Service,https://wagner.nyu.edu/education/degrees/mpa-public-nonprofit-management-policy,https://wagner.nyu.edu
PROGRAMLIST,New York University,Wagner School of Public Service,https://wagner.nyu.edu/education/degrees/mpa-health-policy-management,https://wagner.nyu.edu
PROGRAMLIST,New York University,Wagner School of Public Service,https://wagner.nyu.edu/education/degrees/executive-mpa,https://wagner.nyu.edu
PROGRAMLIST,Syracuse University,Maxwell School,https://maxwell.syr.edu/academics/non-degree-programs-and-short-format-courses,https://maxwell.syr.edu
PROGRAMLIST,Syracuse University,Maxwell School,https://maxwell.syr.edu/news/article/partnership-with-hobart-and-william-smith-creates-new-path-to-advanced-degrees,https://maxwell.syr.edu
PROGRAMLIST,Syracuse University,Maxwell School,https://maxwell.syr.edu/academics/graduate-study,https://maxwell.syr.edu
PROGRAMLIST,Syracuse University,Maxwell School,https://maxwell.syr.edu/academics/undergraduate-study,https://maxwell.syr.edu
PROGRAMLIST,Syracuse University,Maxwell School,https://maxwell.syr.edu/palmer-career-center,https://maxwell.syr.edu
PROGRAMLIST,Syracuse University,Maxwell School,https://maxwell.syr.edu#content,https://maxwell.syr.edu
PROGRAMLIST,Syracuse University,Maxwell School,https://maxwell.syr.edu/civic-and-community-engagement-office,https://maxwell.syr.edu
PROGRAMLIST,Syracuse University,Maxwell School,https://maxwell.syr.edu/centennial,https://maxwell.syr.edu
PROGRAMLIST,Syracuse University,Maxwell School,https://maxwell.syr.edu/directory,https://maxwell.syr.edu
PROGRAMLIST,Syracuse University,Maxwell School,https://maxwell.syr.edu/visit,https://maxwell.syr.edu
PROGRAMLIST,Georgetown University,McCourt School of Public Policy,https://mccourt.georgetown.edu/programs/degree-programs/,https://mccourt.georgetown.edu
PROGRAMLIST,Georgetown University,McCourt School of Public Policy,https://mccourt.georgetown.edu/programs/dual-degree-programs/,https://mccourt.georgetown.edu
PROGRAMLIST,Georgetown University,McCourt School of Public Policy,https://mccourt.georgetown.edu/joint-program-in-public-policy/,https://mccourt.georgetown.edu
PROGRAMLIST,Georgetown University,McCourt School of Public Policy,https://mccourt.georgetown.edu/programs/,https://mccourt.georgetown.edu
PROGRAMLIST,Georgetown University,McCourt School of Public Policy,https://mccourt.georgetown.edu/programs/international-programs/,https://mccourt.georgetown.edu
PROGRAMLIST,Georgetown University,McCourt School of Public Policy,https://mccourt.georgetown.edu/programs/certificate-programs/,https://mccourt.georgetown.edu
PROGRAMLIST,Georgetown University,McCourt School of Public Policy,https://mccourt.georgetown.edu#main-content,https://mccourt.georgetown.edu
