id,label
1,Critical Thinking
2,Complex Problem Solving
3,Reading Comprehension
4,Writing
5,Speaking
6,Active Listening
7,Judgment and Decision Making
8,Time Management
9,Coordination
10,Negotiation
11,Persuasion
12,Social Perceptiveness
13,Service Orientation
14,Management of Personnel Resources
15,Systems Evaluation
16,Systems Analysis
17,Mathematics
18,Science
19,Programming
20,Technology Design
21,Troubleshooting
22,Operations Analysis
23,Quality Control Analysis
24,Monitoring
25,Learning Strategies
26,Instructing
27,Active Learning
28,Design
29,Equipment Maintenance
30,Repairing
